DHB,year,sex,cancer,incidence_num,incidence_rate
Wairarapa,2017,Female,Breast,30,70.5
Waitemata,2017,Female,Breast,390,92.9
West Coast,2017,Female,Breast,14,53.7
Whanganui,2017,Female,Breast,39,66.5
All New Zealand,2017,Female,Colorectal,1419,34.5
Auckland,2017,Female,Colorectal,98,28.2
Bay of Plenty,2017,Female,Colorectal,91,37.1
Canterbury,2017,Female,Colorectal,187,37.4
Capital & Coast,2017,Female,Colorectal,73,31.9
Counties Manukau,2017,Female,Colorectal,104,28.4
Hawke's Bay,2017,Female,Colorectal,45,26.9
Hutt Valley,2017,Female,Colorectal,24,18.3
Lakes,2017,Female,Colorectal,27,24.9
MidCentral,2017,Female,Colorectal,75,42.5
Nelson Marlborough,2017,Female,Colorectal,68,38.8
Northland,2017,Female,Colorectal,54,30.7
South Canterbury,2017,Female,Colorectal,30,45.5
Southern,2017,Female,Colorectal,124,39.2
Tairawhiti,2017,Female,Colorectal,14,39
Taranaki,2017,Female,Colorectal,48,40.1
Waikato,2017,Female,Colorectal,133,36.4
Wairarapa,2017,Female,Colorectal,13,33.1
Waitemata,2017,Female,Colorectal,167,35.9
West Coast,2017,Female,Colorectal,16,53
Whanganui,2017,Female,Colorectal,26,41.9
All New Zealand,2017,Female,Leukaemia,282,7.4
Auckland,2017,Female,Leukaemia,27,7.5
Bay of Plenty,2017,Female,Leukaemia,15,5.6
Canterbury,2017,Female,Leukaemia,34,7.4
Capital & Coast,2017,Female,Leukaemia,18,7.7
Counties Manukau,2017,Female,Leukaemia,26,7.4
Hawke's Bay,2017,Female,Leukaemia,9,7.1
Hutt Valley,2017,Female,Leukaemia,9,7.9
Lakes,2017,Female,Leukaemia,5,0
MidCentral,2017,Female,Leukaemia,12,9.1
Nelson Marlborough,2017,Female,Leukaemia,6,4.9
Northland,2017,Female,Leukaemia,21,11.8
South Canterbury,2017,Female,Leukaemia,2,0
Southern,2017,Female,Leukaemia,15,5.5
Tairawhiti,2017,Female,Leukaemia,4,0
Taranaki,2017,Female,Leukaemia,5,0
Waikato,2017,Female,Leukaemia,23,6.9
Wairarapa,2017,Female,Leukaemia,7,14.3
Waitemata,2017,Female,Leukaemia,39,8.6
Whanganui,2017,Female,Leukaemia,5,0
All New Zealand,2017,Female,Lung,1173,28.2
Auckland,2017,Female,Lung,67,19.4
Bay of Plenty,2017,Female,Lung,80,32.2
Canterbury,2017,Female,Lung,126,25.5
Capital & Coast,2017,Female,Lung,50,19.8
Counties Manukau,2017,Female,Lung,129,35.7
Hawke's Bay,2017,Female,Lung,75,44.8
Hutt Valley,2017,Female,Lung,34,27.7
Lakes,2017,Female,Lung,33,33.9
MidCentral,2017,Female,Lung,59,33.1
Nelson Marlborough,2017,Female,Lung,34,19.5
Northland,2017,Female,Lung,63,32.8
South Canterbury,2017,Female,Lung,16,24.9
Southern,2017,Female,Lung,66,20.3
Tairawhiti,2017,Female,Lung,16,42.2
Taranaki,2017,Female,Lung,25,20.5
Waikato,2017,Female,Lung,122,33.2
Wairarapa,2017,Female,Lung,15,35.5
Waitemata,2017,Female,Lung,120,24.4
West Coast,2017,Female,Lung,12,34.2
Whanganui,2017,Female,Lung,28,40.7
All New Zealand,2017,Female,Melanoma,1140,30.8
Auckland,2017,Female,Melanoma,108,33.9
Bay of Plenty,2017,Female,Melanoma,71,32.1
Canterbury,2017,Female,Melanoma,146,34.1
Capital & Coast,2017,Female,Melanoma,59,26.8
Counties Manukau,2017,Female,Melanoma,72,20
Hawke's Bay,2017,Female,Melanoma,28,18.2
Hutt Valley,2017,Female,Melanoma,34,29.1
Lakes,2017,Female,Melanoma,24,25.7
MidCentral,2017,Female,Melanoma,59,39.5
Nelson Marlborough,2017,Female,Melanoma,56,37.2
Northland,2017,Female,Melanoma,45,26.6
South Canterbury,2017,Female,Melanoma,16,28.6
Southern,2017,Female,Melanoma,87,31.9
Tairawhiti,2017,Female,Melanoma,10,31
Taranaki,2017,Female,Melanoma,44,51.3
Waikato,2017,Female,Melanoma,120,38.9
Wairarapa,2017,Female,Melanoma,20,48.9
Waitemata,2017,Female,Melanoma,115,26.4
West Coast,2017,Female,Melanoma,9,39.7
Whanganui,2017,Female,Melanoma,17,22.2
All New Zealand,2017,Female,Non-Hodgkin lymphoma,385,9.6
Auckland,2017,Female,Non-Hodgkin lymphoma,32,9.6
Bay of Plenty,2017,Female,Non-Hodgkin lymphoma,23,10.8
Canterbury,2017,Female,Non-Hodgkin lymphoma,36,8.3
Capital & Coast,2017,Female,Non-Hodgkin lymphoma,27,11.7
Counties Manukau,2017,Female,Non-Hodgkin lymphoma,40,10.7
Hawke's Bay,2017,Female,Non-Hodgkin lymphoma,11,9.2
Hutt Valley,2017,Female,Non-Hodgkin lymphoma,11,8.2
Lakes,2017,Female,Non-Hodgkin lymphoma,12,13.7
MidCentral,2017,Female,Non-Hodgkin lymphoma,13,7.8
Nelson Marlborough,2017,Female,Non-Hodgkin lymphoma,11,7.2
Northland,2017,Female,Non-Hodgkin lymphoma,20,10.1
South Canterbury,2017,Female,Non-Hodgkin lymphoma,6,7.3
Southern,2017,Female,Non-Hodgkin lymphoma,23,6.7
Tairawhiti,2017,Female,Non-Hodgkin lymphoma,6,14.4
Taranaki,2017,Female,Non-Hodgkin lymphoma,13,12.5
Waikato,2017,Female,Non-Hodgkin lymphoma,36,9.9
Wairarapa,2017,Female,Non-Hodgkin lymphoma,4,0
Waitemata,2017,Female,Non-Hodgkin lymphoma,47,10.2
West Coast,2017,Female,Non-Hodgkin lymphoma,4,0
Whanganui,2017,Female,Non-Hodgkin lymphoma,9,10.1
All New Zealand,2017,Female,Ovarian,247,6.7
Auckland,2017,Female,Ovarian,23,7.2
Bay of Plenty,2017,Female,Ovarian,12,4.8
Canterbury,2017,Female,Ovarian,27,5.9
Capital & Coast,2017,Female,Ovarian,18,8.6
Counties Manukau,2017,Female,Ovarian,17,5
Hawke's Bay,2017,Female,Ovarian,14,9.9
Hutt Valley,2017,Female,Ovarian,8,6.2
Lakes,2017,Female,Ovarian,4,0
MidCentral,2017,Female,Ovarian,12,10.4
Nelson Marlborough,2017,Female,Ovarian,12,7.8
Northland,2017,Female,Ovarian,9,6.1
South Canterbury,2017,Female,Ovarian,3,0
Southern,2017,Female,Ovarian,27,10.2
Tairawhiti,2017,Female,Ovarian,3,0
Taranaki,2017,Female,Ovarian,11,8.7
Waikato,2017,Female,Ovarian,16,6
Wairarapa,2017,Female,Ovarian,3,0
Waitemata,2017,Female,Ovarian,22,5.1
West Coast,2017,Female,Ovarian,1,0
Whanganui,2017,Female,Ovarian,4,0
All New Zealand,2017,Female,Pancreas,284,6.7
Auckland,2017,Female,Pancreas,28,8.7
Bay of Plenty,2017,Female,Pancreas,16,5.6
Canterbury,2017,Female,Pancreas,31,6.6
Capital & Coast,2017,Female,Pancreas,10,4.6
Counties Manukau,2017,Female,Pancreas,30,8.2
Hawke's Bay,2017,Female,Pancreas,11,5.7
Hutt Valley,2017,Female,Pancreas,7,5.6
Lakes,2017,Female,Pancreas,1,0
MidCentral,2017,Female,Pancreas,14,7.8
Nelson Marlborough,2017,Female,Pancreas,11,5.2
Northland,2017,Female,Pancreas,13,8.5
South Canterbury,2017,Female,Pancreas,6,6.8
Southern,2017,Female,Pancreas,24,7.9
Tairawhiti,2017,Female,Pancreas,3,0
Taranaki,2017,Female,Pancreas,7,4.8
Waikato,2017,Female,Pancreas,24,5.6
Wairarapa,2017,Female,Pancreas,3,0
Waitemata,2017,Female,Pancreas,36,7
West Coast,2017,Female,Pancreas,3,0
Whanganui,2017,Female,Pancreas,6,6.3
All New Zealand,2017,Female,Thyroid,224,7.8
Auckland,2017,Female,Thyroid,24,8.5
Bay of Plenty,2017,Female,Thyroid,15,9.8
Canterbury,2017,Female,Thyroid,14,4.6
Capital & Coast,2017,Female,Thyroid,19,10.5
Counties Manukau,2017,Female,Thyroid,37,11.9
Hawke's Bay,2017,Female,Thyroid,7,6.4
Hutt Valley,2017,Female,Thyroid,5,0
Lakes,2017,Female,Thyroid,6,9.9
MidCentral,2017,Female,Thyroid,8,7.8
Nelson Marlborough,2017,Female,Thyroid,6,6.3
Northland,2017,Female,Thyroid,12,10.6
South Canterbury,2017,Female,Thyroid,2,0
Southern,2017,Female,Thyroid,8,3.4
Tairawhiti,2017,Female,Thyroid,1,0
Taranaki,2017,Female,Thyroid,2,0
Waikato,2017,Female,Thyroid,17,6.7
Wairarapa,2017,Female,Thyroid,2,0
Waitemata,2017,Female,Thyroid,36,10.4
Whanganui,2017,Female,Thyroid,2,0
All New Zealand,2017,Female,Uterine,567,15.6
Auckland,2017,Female,Uterine,57,18.1
Bay of Plenty,2017,Female,Uterine,30,12.7
Canterbury,2017,Female,Uterine,49,11.6
Capital & Coast,2017,Female,Uterine,39,18.4
Counties Manukau,2017,Female,Uterine,70,20.6
Hawke's Bay,2017,Female,Uterine,22,12.7
Hutt Valley,2017,Female,Uterine,16,14.9
Lakes,2017,Female,Uterine,7,8
MidCentral,2017,Female,Uterine,21,13.4
Nelson Marlborough,2017,Female,Uterine,13,8.4
Northland,2017,Female,Uterine,29,19.3
South Canterbury,2017,Female,Uterine,8,13.9
Southern,2017,Female,Uterine,34,13.2
Tairawhiti,2017,Female,Uterine,8,24
Taranaki,2017,Female,Uterine,13,11.8
Waikato,2017,Female,Uterine,58,17.9
Wairarapa,2017,Female,Uterine,9,18.7
Waitemata,2017,Female,Uterine,72,16.8
West Coast,2017,Female,Uterine,2,0
Whanganui,2017,Female,Uterine,9,15.3
All New Zealand,2018,Female,Breast,3558,100.8
Auckland,2018,Female,Breast,330,105.9
Bay of Plenty,2018,Female,Breast,213,104.8
Canterbury,2018,Female,Breast,380,91.9
Capital & Coast,2018,Female,Breast,224,104.1
Counties Manukau,2018,Female,Breast,341,97.3
Hawke's Bay,2018,Female,Breast,156,113.8
Hutt Valley,2018,Female,Breast,119,107.9
Lakes,2018,Female,Breast,99,120.5
MidCentral,2018,Female,Breast,135,98.1
Nelson Marlborough,2018,Female,Breast,116,86.5
Northland,2018,Female,Breast,182,122.6
South Canterbury,2018,Female,Breast,44,87.1
Southern,2018,Female,Breast,217,86.9
Tairawhiti,2018,Female,Breast,39,104.5
Taranaki,2018,Female,Breast,75,79.1
Waikato,2018,Female,Breast,342,109.1
Wairarapa,2018,Female,Breast,46,106.3
Waitemata,2018,Female,Breast,418,99
West Coast,2018,Female,Breast,15,47.1
Whanganui,2018,Female,Breast,64,111.9
All New Zealand,2018,Female,Colorectal,1488,35.4
Auckland,2018,Female,Colorectal,97,27.9
Bay of Plenty,2018,Female,Colorectal,85,31.7
Canterbury,2018,Female,Colorectal,181,37.1
Capital & Coast,2018,Female,Colorectal,85,35.2
Counties Manukau,2018,Female,Colorectal,118,31.7
Hawke's Bay,2018,Female,Colorectal,66,36.9
Hutt Valley,2018,Female,Colorectal,46,37.2
Lakes,2018,Female,Colorectal,30,29.9
MidCentral,2018,Female,Colorectal,83,47.1
Nelson Marlborough,2018,Female,Colorectal,52,31
Northland,2018,Female,Colorectal,72,37.8
South Canterbury,2018,Female,Colorectal,30,40.3
Southern,2018,Female,Colorectal,147,49.1
Tairawhiti,2018,Female,Colorectal,15,30.5
Taranaki,2018,Female,Colorectal,49,42.1
Waikato,2018,Female,Colorectal,130,35.8
Wairarapa,2018,Female,Colorectal,21,40.7
Waitemata,2018,Female,Colorectal,144,29
West Coast,2018,Female,Colorectal,11,41.2
Whanganui,2018,Female,Colorectal,24,33.1
All New Zealand,2018,Female,Leukaemia,278,7.2
Auckland,2018,Female,Leukaemia,25,7.5
Bay of Plenty,2018,Female,Leukaemia,13,6
Canterbury,2018,Female,Leukaemia,29,7.3
Capital & Coast,2018,Female,Leukaemia,19,7.5
Counties Manukau,2018,Female,Leukaemia,23,6.3
Hawke's Bay,2018,Female,Leukaemia,15,8
Hutt Valley,2018,Female,Leukaemia,11,9.8
Lakes,2018,Female,Leukaemia,6,7
MidCentral,2018,Female,Leukaemia,11,7.9
Nelson Marlborough,2018,Female,Leukaemia,9,5
Northland,2018,Female,Leukaemia,11,7.6
South Canterbury,2018,Female,Leukaemia,1,0
Southern,2018,Female,Leukaemia,18,6.8
Tairawhiti,2018,Female,Leukaemia,1,0
Taranaki,2018,Female,Leukaemia,7,5.7
Waikato,2018,Female,Leukaemia,31,9.1
Wairarapa,2018,Female,Leukaemia,2,0
Waitemata,2018,Female,Leukaemia,39,8
West Coast,2018,Female,Leukaemia,2,0
Whanganui,2018,Female,Leukaemia,5,0
All New Zealand,2018,Female,Lung,1187,27.5
Auckland,2018,Female,Lung,71,19.9
Bay of Plenty,2018,Female,Lung,82,29.5
Canterbury,2018,Female,Lung,129,25.9
Capital & Coast,2018,Female,Lung,56,21.3
Counties Manukau,2018,Female,Lung,127,32.7
Hawke's Bay,2018,Female,Lung,61,36.1
Hutt Valley,2018,Female,Lung,32,25.5
Lakes,2018,Female,Lung,35,33
MidCentral,2018,Female,Lung,47,27.6
Nelson Marlborough,2018,Female,Lung,38,21
Northland,2018,Female,Lung,79,39.7
South Canterbury,2018,Female,Lung,17,24.9
Southern,2018,Female,Lung,76,24.5
Tairawhiti,2018,Female,Lung,12,29.7
Taranaki,2018,Female,Lung,35,29.3
Waikato,2018,Female,Lung,118,30.8
Wairarapa,2018,Female,Lung,15,27.7
Waitemata,2018,Female,Lung,121,24.7
West Coast,2018,Female,Lung,9,23.7
Whanganui,2018,Female,Lung,25,33.3
All New Zealand,2018,Female,Melanoma,1201,31.8
Auckland,2018,Female,Melanoma,104,31.8
Bay of Plenty,2018,Female,Melanoma,81,31.7
Canterbury,2018,Female,Melanoma,129,30.9
Capital & Coast,2018,Female,Melanoma,75,31.6
Counties Manukau,2018,Female,Melanoma,96,25.9
Hawke's Bay,2018,Female,Melanoma,25,17.3
Hutt Valley,2018,Female,Melanoma,31,23.2
Lakes,2018,Female,Melanoma,21,21.9
MidCentral,2018,Female,Melanoma,38,25.8
Nelson Marlborough,2018,Female,Melanoma,50,38.1
Northland,2018,Female,Melanoma,39,24
South Canterbury,2018,Female,Melanoma,22,44.5
Southern,2018,Female,Melanoma,100,40
Tairawhiti,2018,Female,Melanoma,15,46
Taranaki,2018,Female,Melanoma,63,66
Waikato,2018,Female,Melanoma,124,38.4
Wairarapa,2018,Female,Melanoma,10,20.4
Waitemata,2018,Female,Melanoma,154,33.9
West Coast,2018,Female,Melanoma,5,0
Whanganui,2018,Female,Melanoma,16,26.5
All New Zealand,2018,Female,Non-Hodgkin lymphoma,447,11.2
Auckland,2018,Female,Non-Hodgkin lymphoma,40,11.8
Bay of Plenty,2018,Female,Non-Hodgkin lymphoma,32,13.1
Canterbury,2018,Female,Non-Hodgkin lymphoma,50,10.9
Capital & Coast,2018,Female,Non-Hodgkin lymphoma,31,12.7
Counties Manukau,2018,Female,Non-Hodgkin lymphoma,36,9.7
Hawke's Bay,2018,Female,Non-Hodgkin lymphoma,16,9.1
Hutt Valley,2018,Female,Non-Hodgkin lymphoma,11,10.4
Lakes,2018,Female,Non-Hodgkin lymphoma,7,8.4
MidCentral,2018,Female,Non-Hodgkin lymphoma,24,15
Nelson Marlborough,2018,Female,Non-Hodgkin lymphoma,24,13.6
Northland,2018,Female,Non-Hodgkin lymphoma,15,9.4
South Canterbury,2018,Female,Non-Hodgkin lymphoma,6,10
Southern,2018,Female,Non-Hodgkin lymphoma,27,9.5
Tairawhiti,2018,Female,Non-Hodgkin lymphoma,3,0
Taranaki,2018,Female,Non-Hodgkin lymphoma,15,12.4
Waikato,2018,Female,Non-Hodgkin lymphoma,41,11.3
Wairarapa,2018,Female,Non-Hodgkin lymphoma,4,0
Waitemata,2018,Female,Non-Hodgkin lymphoma,52,11.1
West Coast,2018,Female,Non-Hodgkin lymphoma,8,27.3
Whanganui,2018,Female,Non-Hodgkin lymphoma,4,0
All New Zealand,2018,Female,Ovarian,244,6.5
Auckland,2018,Female,Ovarian,19,6.4
Bay of Plenty,2018,Female,Ovarian,16,6
Canterbury,2018,Female,Ovarian,36,8.2
Capital & Coast,2018,Female,Ovarian,10,4.2
Counties Manukau,2018,Female,Ovarian,25,7.2
Hawke's Bay,2018,Female,Ovarian,15,14.9
Hutt Valley,2018,Female,Ovarian,12,10.7
Lakes,2018,Female,Ovarian,4,0
MidCentral,2018,Female,Ovarian,9,4.3
Nelson Marlborough,2018,Female,Ovarian,7,5.1
Northland,2018,Female,Ovarian,7,3.8
South Canterbury,2018,Female,Ovarian,6,9.6
Southern,2018,Female,Ovarian,15,5.1
Taranaki,2018,Female,Ovarian,6,5.4
Waikato,2018,Female,Ovarian,24,6.7
Wairarapa,2018,Female,Ovarian,3,0
Waitemata,2018,Female,Ovarian,23,4.9
West Coast,2018,Female,Ovarian,2,0
Whanganui,2018,Female,Ovarian,5,0
All New Zealand,2018,Female,Pancreas,307,6.8
Auckland,2018,Female,Pancreas,29,7.8
Bay of Plenty,2018,Female,Pancreas,14,4.3
Canterbury,2018,Female,Pancreas,43,8.3
Capital & Coast,2018,Female,Pancreas,12,4
Counties Manukau,2018,Female,Pancreas,27,7.1
Hawke's Bay,2018,Female,Pancreas,11,5.5
Hutt Valley,2018,Female,Pancreas,14,10.5
Lakes,2018,Female,Pancreas,5,0
MidCentral,2018,Female,Pancreas,8,4
Nelson Marlborough,2018,Female,Pancreas,4,0
Northland,2018,Female,Pancreas,23,11.6
South Canterbury,2018,Female,Pancreas,6,8.8
Southern,2018,Female,Pancreas,22,6.9
Tairawhiti,2018,Female,Pancreas,4,0
Taranaki,2018,Female,Pancreas,8,4.8
Waikato,2018,Female,Pancreas,31,7.5
Wairarapa,2018,Female,Pancreas,2,0
Waitemata,2018,Female,Pancreas,35,6.9
West Coast,2018,Female,Pancreas,3,0
Whanganui,2018,Female,Pancreas,5,0
All New Zealand,2018,Female,Thyroid,211,7.2
Auckland,2018,Female,Thyroid,39,13.8
Bay of Plenty,2018,Female,Thyroid,13,6.6
Canterbury,2018,Female,Thyroid,22,6.5
Capital & Coast,2018,Female,Thyroid,10,5.5
Counties Manukau,2018,Female,Thyroid,30,9.2
Hawke's Bay,2018,Female,Thyroid,6,5.8
Hutt Valley,2018,Female,Thyroid,3,0
Lakes,2018,Female,Thyroid,3,0
MidCentral,2018,Female,Thyroid,3,0
Nelson Marlborough,2018,Female,Thyroid,2,0
Northland,2018,Female,Thyroid,13,12.1
South Canterbury,2018,Female,Thyroid,1,0
Southern,2018,Female,Thyroid,11,5.7
Taranaki,2018,Female,Thyroid,1,0
Waikato,2018,Female,Thyroid,15,5.6
Wairarapa,2018,Female,Thyroid,2,0
Waitemata,2018,Female,Thyroid,31,8.2
West Coast,2018,Female,Thyroid,1,0
Whanganui,2018,Female,Thyroid,4,0
All New Zealand,2018,Female,Uterine,641,17.5
Auckland,2018,Female,Uterine,67,21.8
Bay of Plenty,2018,Female,Uterine,34,14.3
Canterbury,2018,Female,Uterine,54,12.9
Capital & Coast,2018,Female,Uterine,29,13.2
Counties Manukau,2018,Female,Uterine,90,26
Hawke's Bay,2018,Female,Uterine,34,25.7
Hutt Valley,2018,Female,Uterine,24,20.5
Lakes,2018,Female,Uterine,13,15.3
MidCentral,2018,Female,Uterine,30,21.3
Nelson Marlborough,2018,Female,Uterine,16,10.6
Northland,2018,Female,Uterine,34,20
South Canterbury,2018,Female,Uterine,11,21.6
Southern,2018,Female,Uterine,38,12.6
Tairawhiti,2018,Female,Uterine,10,32.4
Taranaki,2018,Female,Uterine,25,22.7
Waikato,2018,Female,Uterine,53,16.7
Wairarapa,2018,Female,Uterine,3,0
Waitemata,2018,Female,Uterine,63,13.7
West Coast,2018,Female,Uterine,2,0
Whanganui,2018,Female,Uterine,11,18.5
All New Zealand,2019,Female,Breast,3460,96
Auckland,2019,Female,Breast,302,96.4
Bay of Plenty,2019,Female,Breast,206,96
Canterbury,2019,Female,Breast,417,99.3
Capital & Coast,2019,Female,Breast,199,90
Counties Manukau,2019,Female,Breast,323,91.6
Hawke's Bay,2019,Female,Breast,139,100
Hutt Valley,2019,Female,Breast,129,115.9
Lakes,2019,Female,Breast,83,103.3
MidCentral,2019,Female,Breast,108,76.8
Nelson Marlborough,2019,Female,Breast,128,94.6
Northland,2019,Female,Breast,165,100.9
South Canterbury,2019,Female,Breast,55,105.6
Southern,2019,Female,Breast,243,95.6
Tairawhiti,2019,Female,Breast,36,102.9
Taranaki,2019,Female,Breast,83,83.9
Waikato,2019,Female,Breast,311,101
Wairarapa,2019,Female,Breast,31,78
Waitemata,2019,Female,Breast,413,92.8
West Coast,2019,Female,Breast,23,79.7
Whanganui,2019,Female,Breast,63,105.2
All New Zealand,2019,Female,Colorectal,1593,37
Auckland,2019,Female,Colorectal,100,27.5
Bay of Plenty,2019,Female,Colorectal,87,35
Canterbury,2019,Female,Colorectal,195,37.9
Capital & Coast,2019,Female,Colorectal,94,35.6
Counties Manukau,2019,Female,Colorectal,143,36.4
Hawke's Bay,2019,Female,Colorectal,69,37.4
Hutt Valley,2019,Female,Colorectal,59,45.8
Lakes,2019,Female,Colorectal,37,41.3
MidCentral,2019,Female,Colorectal,65,36.7
Nelson Marlborough,2019,Female,Colorectal,63,34
Northland,2019,Female,Colorectal,70,39.6
South Canterbury,2019,Female,Colorectal,29,40.6
Southern,2019,Female,Colorectal,172,55.5
Tairawhiti,2019,Female,Colorectal,10,25.9
Taranaki,2019,Female,Colorectal,51,43.4
Waikato,2019,Female,Colorectal,128,31.7
Wairarapa,2019,Female,Colorectal,24,49.5
Waitemata,2019,Female,Colorectal,159,31.9
West Coast,2019,Female,Colorectal,11,41.4
Whanganui,2019,Female,Colorectal,25,41.1
All New Zealand,2019,Female,Leukaemia,313,8.6
Auckland,2019,Female,Leukaemia,25,8.8
Bay of Plenty,2019,Female,Leukaemia,24,10.7
Canterbury,2019,Female,Leukaemia,33,8.8
Capital & Coast,2019,Female,Leukaemia,30,13.7
Counties Manukau,2019,Female,Leukaemia,27,8.1
Hawke's Bay,2019,Female,Leukaemia,8,4.9
Hutt Valley,2019,Female,Leukaemia,5,0
Lakes,2019,Female,Leukaemia,13,13.5
MidCentral,2019,Female,Leukaemia,15,9.4
Nelson Marlborough,2019,Female,Leukaemia,16,9.5
Northland,2019,Female,Leukaemia,10,4.5
South Canterbury,2019,Female,Leukaemia,2,0
Southern,2019,Female,Leukaemia,19,6.5
Tairawhiti,2019,Female,Leukaemia,1,0
Taranaki,2019,Female,Leukaemia,6,6.2
Waikato,2019,Female,Leukaemia,34,11
Wairarapa,2019,Female,Leukaemia,2,0
Waitemata,2019,Female,Leukaemia,33,7.9
West Coast,2019,Female,Leukaemia,1,0
Whanganui,2019,Female,Leukaemia,6,11.3
All New Zealand,2019,Female,Lung,1208,27.5
Auckland,2019,Female,Lung,95,26.2
Bay of Plenty,2019,Female,Lung,81,29.1
Canterbury,2019,Female,Lung,135,26
Capital & Coast,2019,Female,Lung,50,19.6
Counties Manukau,2019,Female,Lung,128,32.4
Hawke's Bay,2019,Female,Lung,47,26.5
Hutt Valley,2019,Female,Lung,30,23.6
Lakes,2019,Female,Lung,32,31.7
MidCentral,2019,Female,Lung,66,38.9
Nelson Marlborough,2019,Female,Lung,32,18
Northland,2019,Female,Lung,58,27.7
South Canterbury,2019,Female,Lung,18,28.8
Southern,2019,Female,Lung,78,23.8
Tairawhiti,2019,Female,Lung,15,35.2
Taranaki,2019,Female,Lung,36,26.7
Waikato,2019,Female,Lung,138,35.8
Wairarapa,2019,Female,Lung,12,21.4
Waitemata,2019,Female,Lung,120,23.7
West Coast,2019,Female,Lung,14,40.1
Whanganui,2019,Female,Lung,16,19
All New Zealand,2019,Female,Melanoma,1250,32.6
Auckland,2019,Female,Melanoma,88,27.3
Bay of Plenty,2019,Female,Melanoma,63,25.5
Canterbury,2019,Female,Melanoma,161,36
Capital & Coast,2019,Female,Melanoma,63,28.3
Counties Manukau,2019,Female,Melanoma,89,23.5
Hawke's Bay,2019,Female,Melanoma,32,22.5
Hutt Valley,2019,Female,Melanoma,39,32.7
Lakes,2019,Female,Melanoma,31,29.8
MidCentral,2019,Female,Melanoma,41,29
Nelson Marlborough,2019,Female,Melanoma,46,30.4
Northland,2019,Female,Melanoma,60,35.7
South Canterbury,2019,Female,Melanoma,20,37.9
Southern,2019,Female,Melanoma,129,49.6
Tairawhiti,2019,Female,Melanoma,12,39.7
Taranaki,2019,Female,Melanoma,68,68
Waikato,2019,Female,Melanoma,101,29.3
Wairarapa,2019,Female,Melanoma,13,26.6
Waitemata,2019,Female,Melanoma,161,34.9
West Coast,2019,Female,Melanoma,16,58.1
Whanganui,2019,Female,Melanoma,17,23.9
All New Zealand,2019,Female,Non-Hodgkin lymphoma,392,9.7
Auckland,2019,Female,Non-Hodgkin lymphoma,35,9.9
Bay of Plenty,2019,Female,Non-Hodgkin lymphoma,23,9.6
Canterbury,2019,Female,Non-Hodgkin lymphoma,51,10.1
Capital & Coast,2019,Female,Non-Hodgkin lymphoma,25,10.1
Counties Manukau,2019,Female,Non-Hodgkin lymphoma,29,8
Hawke's Bay,2019,Female,Non-Hodgkin lymphoma,13,6.9
Hutt Valley,2019,Female,Non-Hodgkin lymphoma,11,8.2
Lakes,2019,Female,Non-Hodgkin lymphoma,11,10.9
MidCentral,2019,Female,Non-Hodgkin lymphoma,8,5.7
Nelson Marlborough,2019,Female,Non-Hodgkin lymphoma,13,6.8
Northland,2019,Female,Non-Hodgkin lymphoma,15,8.8
South Canterbury,2019,Female,Non-Hodgkin lymphoma,10,15.6
Southern,2019,Female,Non-Hodgkin lymphoma,37,13.4
Tairawhiti,2019,Female,Non-Hodgkin lymphoma,4,0
Taranaki,2019,Female,Non-Hodgkin lymphoma,14,12.8
Waikato,2019,Female,Non-Hodgkin lymphoma,30,8.7
Wairarapa,2019,Female,Non-Hodgkin lymphoma,5,0
Waitemata,2019,Female,Non-Hodgkin lymphoma,52,10.9
West Coast,2019,Female,Non-Hodgkin lymphoma,2,0
Whanganui,2019,Female,Non-Hodgkin lymphoma,3,0
All New Zealand,2019,Female,Ovarian,260,7.1
Auckland,2019,Female,Ovarian,17,5.4
Bay of Plenty,2019,Female,Ovarian,11,5
Canterbury,2019,Female,Ovarian,31,7.1
Capital & Coast,2019,Female,Ovarian,16,7.4
Counties Manukau,2019,Female,Ovarian,19,5.5
Hawke's Bay,2019,Female,Ovarian,15,9.9
Hutt Valley,2019,Female,Ovarian,10,7.4
Lakes,2019,Female,Ovarian,8,8.6
MidCentral,2019,Female,Ovarian,15,11.4
Nelson Marlborough,2019,Female,Ovarian,10,11
Northland,2019,Female,Ovarian,14,7.5
South Canterbury,2019,Female,Ovarian,7,11
Southern,2019,Female,Ovarian,22,8.3
Taranaki,2019,Female,Ovarian,10,12.2
Waikato,2019,Female,Ovarian,15,4.7
Wairarapa,2019,Female,Ovarian,4,0
Waitemata,2019,Female,Ovarian,23,5.3
West Coast,2019,Female,Ovarian,7,26.4
Whanganui,2019,Female,Ovarian,6,8.8
All New Zealand,2019,Female,Pancreas,351,7.7
Auckland,2019,Female,Pancreas,18,4.7
Bay of Plenty,2019,Female,Pancreas,26,9.4
Canterbury,2019,Female,Pancreas,42,8.3
Capital & Coast,2019,Female,Pancreas,26,8.9
Counties Manukau,2019,Female,Pancreas,29,7.9
Hawke's Bay,2019,Female,Pancreas,16,7.7
Hutt Valley,2019,Female,Pancreas,10,6
Lakes,2019,Female,Pancreas,11,9.2
MidCentral,2019,Female,Pancreas,15,7.9
Nelson Marlborough,2019,Female,Pancreas,8,3.6
Northland,2019,Female,Pancreas,17,8
South Canterbury,2019,Female,Pancreas,6,8.8
Southern,2019,Female,Pancreas,25,7.8
Tairawhiti,2019,Female,Pancreas,5,0
Taranaki,2019,Female,Pancreas,11,8.4
