DHB,year,sex,cancer,mortality_num,mortality_rate,group
Wairarapa,2013,Female,Ovarian,2,0.0,Female
Waitemata,2013,Female,Ovarian,18,3.6,Female
West Coast,2013,Female,Ovarian,1,0.0,Female
Whanganui,2013,Female,Ovarian,5,0.0,Female
All New Zealand,2013,Female,Unspecified site,194,4.3,Female
Auckland,2013,Female,Unspecified site,9,2.4,Female
Bay of Plenty,2013,Female,Unspecified site,16,5.8,Female
Canterbury,2013,Female,Unspecified site,16,2.2,Female
Capital & Coast,2013,Female,Unspecified site,14,5.8,Female
Counties Manukau,2013,Female,Unspecified site,10,2.9,Female
Hawke's Bay,2013,Female,Unspecified site,11,5.6,Female
Hutt Valley,2013,Female,Unspecified site,5,0.0,Female
Lakes,2013,Female,Unspecified site,5,0.0,Female
MidCentral,2013,Female,Unspecified site,6,3.2,Female
Nelson Marlborough,2013,Female,Unspecified site,9,4.7,Female
Northland,2013,Female,Unspecified site,13,6.0,Female
South Canterbury,2013,Female,Unspecified site,5,0.0,Female
Southern,2013,Female,Unspecified site,14,3.3,Female
Tairawhiti,2013,Female,Unspecified site,3,0.0,Female
Taranaki,2013,Female,Unspecified site,8,5.4,Female
Waikato,2013,Female,Unspecified site,22,6.2,Female
Waitemata,2013,Female,Unspecified site,18,3.5,Female
West Coast,2013,Female,Unspecified site,2,0.0,Female
Whanganui,2013,Female,Unspecified site,8,10.2,Female
All New Zealand,2013,Female,Uterine,122,3.2,Female
Auckland,2013,Female,Uterine,8,2.5,Female
Bay of Plenty,2013,Female,Uterine,5,0.0,Female
Canterbury,2013,Female,Uterine,14,3.5,Female
Capital & Coast,2013,Female,Uterine,6,2.8,Female
Counties Manukau,2013,Female,Uterine,11,3.4,Female
Hawke's Bay,2013,Female,Uterine,6,3.5,Female
Hutt Valley,2013,Female,Uterine,4,0.0,Female
Lakes,2013,Female,Uterine,1,0.0,Female
MidCentral,2013,Female,Uterine,7,4.0,Female
Nelson Marlborough,2013,Female,Uterine,5,0.0,Female
Northland,2013,Female,Uterine,4,0.0,Female
South Canterbury,2013,Female,Uterine,2,0.0,Female
Southern,2013,Female,Uterine,7,2.7,Female
Taranaki,2013,Female,Uterine,5,0.0,Female
Waikato,2013,Female,Uterine,10,2.6,Female
Wairarapa,2013,Female,Uterine,2,0.0,Female
Waitemata,2013,Female,Uterine,18,3.8,Female
West Coast,2013,Female,Uterine,2,0.0,Female
Whanganui,2013,Female,Uterine,5,0.0,Female
All New Zealand,2014,Female,Breast,604,16.6,Female
Auckland,2014,Female,Breast,47,14.3,Female
Bay of Plenty,2014,Female,Breast,33,16.1,Female
Canterbury,2014,Female,Breast,69,15.6,Female
Capital & Coast,2014,Female,Breast,39,17.6,Female
Counties Manukau,2014,Female,Breast,48,14.5,Female
Hawke's Bay,2014,Female,Breast,23,16.1,Female
Hutt Valley,2014,Female,Breast,27,22.5,Female
Lakes,2014,Female,Breast,18,23.6,Female
MidCentral,2014,Female,Breast,28,17.5,Female
Nelson Marlborough,2014,Female,Breast,29,21.2,Female
Northland,2014,Female,Breast,29,19.5,Female
South Canterbury,2014,Female,Breast,11,15.7,Female
Southern,2014,Female,Breast,41,14.8,Female
Tairawhiti,2014,Female,Breast,8,20.2,Female
Taranaki,2014,Female,Breast,16,16.3,Female
Waikato,2014,Female,Breast,50,17.5,Female
Wairarapa,2014,Female,Breast,5,0.0,Female
Waitemata,2014,Female,Breast,68,16.2,Female
West Coast,2014,Female,Breast,4,0.0,Female
Whanganui,2014,Female,Breast,11,21.3,Female
All New Zealand,2014,Female,Ovarian,195,5.0,Female
Auckland,2014,Female,Ovarian,21,6.3,Female
Bay of Plenty,2014,Female,Ovarian,13,5.8,Female
Canterbury,2014,Female,Ovarian,22,4.5,Female
Capital & Coast,2014,Female,Ovarian,14,5.9,Female
Counties Manukau,2014,Female,Ovarian,21,6.0,Female
Hawke's Bay,2014,Female,Ovarian,10,6.5,Female
Hutt Valley,2014,Female,Ovarian,8,5.6,Female
Lakes,2014,Female,Ovarian,5,0.0,Female
MidCentral,2014,Female,Ovarian,5,0.0,Female
Nelson Marlborough,2014,Female,Ovarian,11,7.1,Female
Northland,2014,Female,Ovarian,8,4.3,Female
South Canterbury,2014,Female,Ovarian,3,0.0,Female
Southern,2014,Female,Ovarian,13,5.3,Female
Taranaki,2014,Female,Ovarian,8,7.1,Female
Waikato,2014,Female,Ovarian,7,1.9,Female
Wairarapa,2014,Female,Ovarian,2,0.0,Female
Waitemata,2014,Female,Ovarian,17,4.1,Female
West Coast,2014,Female,Ovarian,2,0.0,Female
Whanganui,2014,Female,Ovarian,5,0.0,Female
All New Zealand,2014,Female,Unspecified site,237,5.2,Female
Auckland,2014,Female,Unspecified site,11,2.8,Female
Bay of Plenty,2014,Female,Unspecified site,12,4.5,Female
Canterbury,2014,Female,Unspecified site,26,4.4,Female
Capital & Coast,2014,Female,Unspecified site,17,7.2,Female
Counties Manukau,2014,Female,Unspecified site,21,5.8,Female
Hawke's Bay,2014,Female,Unspecified site,18,9.1,Female
Hutt Valley,2014,Female,Unspecified site,12,8.8,Female
Lakes,2014,Female,Unspecified site,7,9.7,Female
MidCentral,2014,Female,Unspecified site,9,4.5,Female
Nelson Marlborough,2014,Female,Unspecified site,7,3.6,Female
Northland,2014,Female,Unspecified site,9,4.7,Female
South Canterbury,2014,Female,Unspecified site,3,0.0,Female
Southern,2014,Female,Unspecified site,24,6.9,Female
Tairawhiti,2014,Female,Unspecified site,3,0.0,Female
Taranaki,2014,Female,Unspecified site,12,7.8,Female
Waikato,2014,Female,Unspecified site,18,4.7,Female
Wairarapa,2014,Female,Unspecified site,3,0.0,Female
Waitemata,2014,Female,Unspecified site,16,2.7,Female
West Coast,2014,Female,Unspecified site,3,0.0,Female
Whanganui,2014,Female,Unspecified site,6,7.2,Female
All New Zealand,2014,Female,Uterine,115,3.0,Female
Auckland,2014,Female,Uterine,13,4.3,Female
Bay of Plenty,2014,Female,Uterine,10,4.0,Female
Canterbury,2014,Female,Uterine,10,1.9,Female
Capital & Coast,2014,Female,Uterine,4,0.0,Female
Counties Manukau,2014,Female,Uterine,17,5.0,Female
Hawke's Bay,2014,Female,Uterine,5,0.0,Female
Lakes,2014,Female,Uterine,4,0.0,Female
MidCentral,2014,Female,Uterine,7,4.8,Female
Nelson Marlborough,2014,Female,Uterine,4,0.0,Female
Northland,2014,Female,Uterine,3,0.0,Female
Southern,2014,Female,Uterine,9,3.0,Female
Taranaki,2014,Female,Uterine,4,0.0,Female
Waikato,2014,Female,Uterine,9,3.0,Female
Wairarapa,2014,Female,Uterine,4,0.0,Female
Waitemata,2014,Female,Uterine,11,2.3,Female
Whanganui,2014,Female,Uterine,1,0.0,Female
All New Zealand,2015,Female,Breast,668,17.9,Female
Auckland,2015,Female,Breast,58,18.7,Female
Bay of Plenty,2015,Female,Breast,39,17.3,Female
Canterbury,2015,Female,Breast,73,15.8,Female
Capital & Coast,2015,Female,Breast,29,13.1,Female
Counties Manukau,2015,Female,Breast,57,17.0,Female
Hawke's Bay,2015,Female,Breast,26,16.1,Female
Hutt Valley,2015,Female,Breast,22,19.4,Female
Lakes,2015,Female,Breast,18,25.9,Female
MidCentral,2015,Female,Breast,37,23.2,Female
Nelson Marlborough,2015,Female,Breast,19,12.8,Female
Northland,2015,Female,Breast,25,14.9,Female
South Canterbury,2015,Female,Breast,9,13.6,Female
Southern,2015,Female,Breast,55,20.4,Female
Tairawhiti,2015,Female,Breast,11,26.2,Female
Taranaki,2015,Female,Breast,23,20.5,Female
Waikato,2015,Female,Breast,66,21.5,Female
Wairarapa,2015,Female,Breast,10,22.9,Female
Waitemata,2015,Female,Breast,74,16.1,Female
West Coast,2015,Female,Breast,5,0.0,Female
Whanganui,2015,Female,Breast,12,20.3,Female
All New Zealand,2015,Female,Ovarian,208,5.2,Female
Auckland,2015,Female,Ovarian,17,5.7,Female
Bay of Plenty,2015,Female,Ovarian,14,5.2,Female
Canterbury,2015,Female,Ovarian,28,6.2,Female
Capital & Coast,2015,Female,Ovarian,12,5.1,Female
Counties Manukau,2015,Female,Ovarian,10,2.7,Female
Hawke's Bay,2015,Female,Ovarian,12,8.2,Female
Hutt Valley,2015,Female,Ovarian,9,6.9,Female
Lakes,2015,Female,Ovarian,4,0.0,Female
MidCentral,2015,Female,Ovarian,10,5.4,Female
Nelson Marlborough,2015,Female,Ovarian,9,4.8,Female
Northland,2015,Female,Ovarian,7,5.4,Female
South Canterbury,2015,Female,Ovarian,8,7.5,Female
Southern,2015,Female,Ovarian,20,7.1,Female
Tairawhiti,2015,Female,Ovarian,1,0.0,Female
Taranaki,2015,Female,Ovarian,6,6.2,Female
Waikato,2015,Female,Ovarian,12,3.4,Female
Wairarapa,2015,Female,Ovarian,2,0.0,Female
Waitemata,2015,Female,Ovarian,23,4.4,Female
West Coast,2015,Female,Ovarian,1,0.0,Female
Whanganui,2015,Female,Ovarian,3,0.0,Female
All New Zealand,2015,Female,Unspecified site,209,4.6,Female
Auckland,2015,Female,Unspecified site,14,4.1,Female
Bay of Plenty,2015,Female,Unspecified site,18,6.6,Female
Canterbury,2015,Female,Unspecified site,20,3.5,Female
Capital & Coast,2015,Female,Unspecified site,10,3.7,Female
Counties Manukau,2015,Female,Unspecified site,15,3.8,Female
Hawke's Bay,2015,Female,Unspecified site,8,4.3,Female
Hutt Valley,2015,Female,Unspecified site,8,6.2,Female
Lakes,2015,Female,Unspecified site,11,10.3,Female
MidCentral,2015,Female,Unspecified site,13,5.3,Female
Nelson Marlborough,2015,Female,Unspecified site,8,3.9,Female
Northland,2015,Female,Unspecified site,16,8.1,Female
South Canterbury,2015,Female,Unspecified site,2,0.0,Female
Southern,2015,Female,Unspecified site,12,3.5,Female
Tairawhiti,2015,Female,Unspecified site,2,0.0,Female
Taranaki,2015,Female,Unspecified site,9,8.3,Female
Waikato,2015,Female,Unspecified site,20,5.5,Female
Wairarapa,2015,Female,Unspecified site,4,0.0,Female
Waitemata,2015,Female,Unspecified site,12,2.1,Female
West Coast,2015,Female,Unspecified site,1,0.0,Female
Whanganui,2015,Female,Unspecified site,6,7.5,Female
All New Zealand,2015,Female,Uterine,143,3.5,Female
Auckland,2015,Female,Uterine,15,4.1,Female
Bay of Plenty,2015,Female,Uterine,12,5.5,Female
Canterbury,2015,Female,Uterine,18,3.4,Female
Capital & Coast,2015,Female,Uterine,5,0.0,Female
Counties Manukau,2015,Female,Uterine,20,5.9,Female
Hawke's Bay,2015,Female,Uterine,4,0.0,Female
Hutt Valley,2015,Female,Uterine,1,0.0,Female
Lakes,2015,Female,Uterine,4,0.0,Female
MidCentral,2015,Female,Uterine,4,0.0,Female
Nelson Marlborough,2015,Female,Uterine,6,2.9,Female
Northland,2015,Female,Uterine,6,3.6,Female
South Canterbury,2015,Female,Uterine,3,0.0,Female
Southern,2015,Female,Uterine,5,0.0,Female
Tairawhiti,2015,Female,Uterine,1,0.0,Female
Taranaki,2015,Female,Uterine,2,0.0,Female
Waikato,2015,Female,Uterine,16,4.6,Female
Wairarapa,2015,Female,Uterine,2,0.0,Female
Waitemata,2015,Female,Uterine,15,3.5,Female
Whanganui,2015,Female,Uterine,4,0.0,Female
All New Zealand,2016,Female,Breast,667,17.3,Female
Auckland,2016,Female,Breast,47,14.3,Female
Bay of Plenty,2016,Female,Breast,37,17.4,Female
Canterbury,2016,Female,Breast,68,14.9,Female
Capital & Coast,2016,Female,Breast,45,18.6,Female
Counties Manukau,2016,Female,Breast,63,17.7,Female
Hawke's Bay,2016,Female,Breast,33,23.4,Female
Hutt Valley,2016,Female,Breast,24,19.6,Female
Lakes,2016,Female,Breast,15,19.4,Female
MidCentral,2016,Female,Breast,24,14.8,Female
Nelson Marlborough,2016,Female,Breast,24,16.1,Female
Northland,2016,Female,Breast,38,24.0,Female
South Canterbury,2016,Female,Breast,12,21.3,Female
Southern,2016,Female,Breast,48,16.0,Female
Tairawhiti,2016,Female,Breast,6,13.8,Female
Taranaki,2016,Female,Breast,25,24.5,Female
Waikato,2016,Female,Breast,63,17.6,Female
Wairarapa,2016,Female,Breast,6,14.8,Female
Waitemata,2016,Female,Breast,69,15.6,Female
West Coast,2016,Female,Breast,5,0.0,Female
Whanganui,2016,Female,Breast,15,22.6,Female
All New Zealand,2016,Female,Ovarian,178,4.4,Female
Auckland,2016,Female,Ovarian,10,3.1,Female
Bay of Plenty,2016,Female,Ovarian,9,3.5,Female
Canterbury,2016,Female,Ovarian,24,5.4,Female
Capital & Coast,2016,Female,Ovarian,17,7.4,Female
Counties Manukau,2016,Female,Ovarian,18,4.9,Female
Hawke's Bay,2016,Female,Ovarian,7,4.9,Female
Hutt Valley,2016,Female,Ovarian,8,7.2,Female
Lakes,2016,Female,Ovarian,6,6.9,Female
MidCentral,2016,Female,Ovarian,8,5.1,Female
Nelson Marlborough,2016,Female,Ovarian,5,0.0,Female
Northland,2016,Female,Ovarian,4,0.0,Female
South Canterbury,2016,Female,Ovarian,2,0.0,Female
Southern,2016,Female,Ovarian,13,4.6,Female
Tairawhiti,2016,Female,Ovarian,2,0.0,Female
Taranaki,2016,Female,Ovarian,3,0.0,Female
Waikato,2016,Female,Ovarian,15,3.6,Female
Wairarapa,2016,Female,Ovarian,4,0.0,Female
Waitemata,2016,Female,Ovarian,19,3.4,Female
West Coast,2016,Female,Ovarian,1,0.0,Female
Whanganui,2016,Female,Ovarian,3,0.0,Female
All New Zealand,2016,Female,Unspecified site,212,4.5,Female
Auckland,2016,Female,Unspecified site,17,4.1,Female
Bay of Plenty,2016,Female,Unspecified site,8,3.0,Female
Canterbury,2016,Female,Unspecified site,21,2.9,Female
Capital & Coast,2016,Female,Unspecified site,16,5.0,Female
Counties Manukau,2016,Female,Unspecified site,15,4.3,Female
Hawke's Bay,2016,Female,Unspecified site,7,2.7,Female
Hutt Valley,2016,Female,Unspecified site,8,5.6,Female
Lakes,2016,Female,Unspecified site,9,7.5,Female
MidCentral,2016,Female,Unspecified site,12,6.7,Female
Nelson Marlborough,2016,Female,Unspecified site,7,3.6,Female
Northland,2016,Female,Unspecified site,16,8.1,Female
South Canterbury,2016,Female,Unspecified site,3,0.0,Female
Southern,2016,Female,Unspecified site,19,4.5,Female
Tairawhiti,2016,Female,Unspecified site,6,15.2,Female
Taranaki,2016,Female,Unspecified site,5,0.0,Female
Waikato,2016,Female,Unspecified site,16,4.2,Female
Wairarapa,2016,Female,Unspecified site,2,0.0,Female
Waitemata,2016,Female,Unspecified site,19,3.7,Female
West Coast,2016,Female,Unspecified site,1,0.0,Female
Whanganui,2016,Female,Unspecified site,5,0.0,Female
All New Zealand,2016,Female,Uterine,132,3.3,Female
Auckland,2016,Female,Uterine,14,4.1,Female
Bay of Plenty,2016,Female,Uterine,5,0.0,Female
Canterbury,2016,Female,Uterine,11,2.4,Female
Capital & Coast,2016,Female,Uterine,3,0.0,Female
Counties Manukau,2016,Female,Uterine,14,4.0,Female
Hawke's Bay,2016,Female,Uterine,4,0.0,Female
Hutt Valley,2016,Female,Uterine,3,0.0,Female
Lakes,2016,Female,Uterine,3,0.0,Female
MidCentral,2016,Female,Uterine,4,0.0,Female
Nelson Marlborough,2016,Female,Uterine,10,5.9,Female
Northland,2016,Female,Uterine,7,4.0,Female
South Canterbury,2016,Female,Uterine,5,0.0,Female
Southern,2016,Female,Uterine,5,0.0,Female
Tairawhiti,2016,Female,Uterine,3,0.0,Female
Taranaki,2016,Female,Uterine,7,4.8,Female
Waikato,2016,Female,Uterine,14,3.8,Female
Wairarapa,2016,Female,Uterine,1,0.0,Female
Waitemata,2016,Female,Uterine,15,3.4,Female
West Coast,2016,Female,Uterine,2,0.0,Female
Whanganui,2016,Female,Uterine,2,0.0,Female
All New Zealand,2017,Female,Breast,668,16.8,Female
Auckland,2017,Female,Breast,56,15.8,Female
Bay of Plenty,2017,Female,Breast,49,22.2,Female
Canterbury,2017,Female,Breast,76,16.1,Female
Capital & Coast,2017,Female,Breast,48,19.6,Female
Counties Manukau,2017,Female,Breast,64,16.9,Female
Hawke's Bay,2017,Female,Breast,28,19.7,Female
Hutt Valley,2017,Female,Breast,20,17.3,Female
Lakes,2017,Female,Breast,19,20.7,Female
MidCentral,2017,Female,Breast,37,26.1,Female
Nelson Marlborough,2017,Female,Breast,25,16.1,Female
Northland,2017,Female,Breast,33,20.7,Female
South Canterbury,2017,Female,Breast,8,14.5,Female
Southern,2017,Female,Breast,35,11.5,Female
Tairawhiti,2017,Female,Breast,11,26.2,Female
Taranaki,2017,Female,Breast,15,13.3,Female
Waikato,2017,Female,Breast,50,15.3,Female
Wairarapa,2017,Female,Breast,12,27.9,Female
Waitemata,2017,Female,Breast,65,13.4,Female
West Coast,2017,Female,Breast,8,23.6,Female
Whanganui,2017,Female,Breast,9,8.9,Female
All New Zealand,2017,Female,Ovarian,164,3.9,Female
Auckland,2017,Female,Ovarian,8,2.1,Female
Bay of Plenty,2017,Female,Ovarian,11,4.0,Female
Canterbury,2017,Female,Ovarian,19,4.0,Female
Capital & Coast,2017,Female,Ovarian,10,4.3,Female
Counties Manukau,2017,Female,Ovarian,9,2.7,Female
Hawke's Bay,2017,Female,Ovarian,5,0.0,Female
Hutt Valley,2017,Female,Ovarian,8,5.2,Female
Lakes,2017,Female,Ovarian,7,7.1,Female
MidCentral,2017,Female,Ovarian,3,0.0,Female
Nelson Marlborough,2017,Female,Ovarian,7,3.5,Female
Northland,2017,Female,Ovarian,5,0.0,Female
South Canterbury,2017,Female,Ovarian,2,0.0,Female
Southern,2017,Female,Ovarian,15,4.8,Female
Tairawhiti,2017,Female,Ovarian,4,0.0,Female
Taranaki,2017,Female,Ovarian,7,5.5,Female
Waikato,2017,Female,Ovarian,21,5.8,Female
Wairarapa,2017,Female,Ovarian,4,0.0,Female
Waitemata,2017,Female,Ovarian,16,3.1,Female
Whanganui,2017,Female,Ovarian,3,0.0,Female
All New Zealand,2017,Female,Unspecified site,190,3.8,Female
Auckland,2017,Female,Unspecified site,19,5.2,Female
Bay of Plenty,2017,Female,Unspecified site,20,6.4,Female
Canterbury,2017,Female,Unspecified site,17,2.4,Female
Capital & Coast,2017,Female,Unspecified site,9,3.0,Female
Counties Manukau,2017,Female,Unspecified site,12,2.8,Female
Hawke's Bay,2017,Female,Unspecified site,5,0.0,Female
Hutt Valley,2017,Female,Unspecified site,5,0.0,Female
Lakes,2017,Female,Unspecified site,6,6.3,Female
MidCentral,2017,Female,Unspecified site,8,3.9,Female
Nelson Marlborough,2017,Female,Unspecified site,5,0.0,Female
Northland,2017,Female,Unspecified site,9,3.8,Female
South Canterbury,2017,Female,Unspecified site,3,0.0,Female
Southern,2017,Female,Unspecified site,22,5.6,Female
Taranaki,2017,Female,Unspecified site,3,0.0,Female
Waikato,2017,Female,Unspecified site,25,5.7,Female
Wairarapa,2017,Female,Unspecified site,1,0.0,Female
Waitemata,2017,Female,Unspecified site,14,2.6,Female
West Coast,2017,Female,Unspecified site,5,0.0,Female
Whanganui,2017,Female,Unspecified site,2,0.0,Female
All New Zealand,2017,Female,Uterine,135,3.1,Female
Auckland,2017,Female,Uterine,18,5.5,Female
Bay of Plenty,2017,Female,Uterine,9,3.2,Female
Canterbury,2017,Female,Uterine,15,2.6,Female
Capital & Coast,2017,Female,Uterine,6,2.7,Female
Counties Manukau,2017,Female,Uterine,16,4.2,Female
Hawke's Bay,2017,Female,Uterine,7,2.9,Female
Hutt Valley,2017,Female,Uterine,3,0.0,Female
Lakes,2017,Female,Uterine,3,0.0,Female
MidCentral,2017,Female,Uterine,5,0.0,Female
Nelson Marlborough,2017,Female,Uterine,6,2.7,Female
Northland,2017,Female,Uterine,8,5.1,Female
Southern,2017,Female,Uterine,6,1.6,Female
Taranaki,2017,Female,Uterine,5,0.0,Female
Waikato,2017,Female,Uterine,9,2.2,Female
Wairarapa,2017,Female,Uterine,1,0.0,Female
Waitemata,2017,Female,Uterine,14,3.1,Female
West Coast,2017,Female,Uterine,1,0.0,Female
Whanganui,2017,Female,Uterine,3,0.0,Female
All New Zealand,2018,Female,Breast,684,16.3,Female
Auckland,2018,Female,Breast,42,11.8,Female
Bay of Plenty,2018,Female,Breast,42,18.4,Female
Canterbury,2018,Female,Breast,88,18.8,Female
Capital & Coast,2018,Female,Breast,38,14.0,Female
Counties Manukau,2018,Female,Breast,55,13.7,Female
Hawke's Bay,2018,Female,Breast,23,15.1,Female
Hutt Valley,2018,Female,Breast,21,15.3,Female
Lakes,2018,Female,Breast,17,17.2,Female
MidCentral,2018,Female,Breast,26,14.7,Female
Nelson Marlborough,2018,Female,Breast,25,14.2,Female
Northland,2018,Female,Breast,41,21.7,Female
South Canterbury,2018,Female,Breast,14,27.5,Female
Southern,2018,Female,Breast,52,17.8,Female
Tairawhiti,2018,Female,Breast,4,0.0,Female
Taranaki,2018,Female,Breast,30,21.9,Female
Waikato,2018,Female,Breast,71,17.9,Female
Wairarapa,2018,Female,Breast,9,17.5,Female
Waitemata,2018,Female,Breast,72,14.8,Female
West Coast,2018,Female,Breast,3,0.0,Female
Whanganui,2018,Female,Breast,11,15.1,Female
All New Zealand,2018,Female,Ovarian,182,4.1,Female
Auckland,2018,Female,Ovarian,9,2.3,Female
Bay of Plenty,2018,Female,Ovarian,14,4.9,Female
Canterbury,2018,Female,Ovarian,15,3.1,Female
Capital & Coast,2018,Female,Ovarian,14,5.0,Female
Counties Manukau,2018,Female,Ovarian,14,3.6,Female
Hawke's Bay,2018,Female,Ovarian,12,7.6,Female
Hutt Valley,2018,Female,Ovarian,5,0.0,Female
Lakes,2018,Female,Ovarian,3,0.0,Female
MidCentral,2018,Female,Ovarian,13,7.6,Female
Nelson Marlborough,2018,Female,Ovarian,8,4.5,Female
Northland,2018,Female,Ovarian,6,3.2,Female
South Canterbury,2018,Female,Ovarian,6,6.7,Female
Southern,2018,Female,Ovarian,14,3.5,Female
Tairawhiti,2018,Female,Ovarian,1,0.0,Female
Taranaki,2018,Female,Ovarian,13,10.3,Female
Waikato,2018,Female,Ovarian,18,4.4,Female
Wairarapa,2018,Female,Ovarian,1,0.0,Female
Waitemata,2018,Female,Ovarian,10,2.2,Female
Whanganui,2018,Female,Ovarian,6,6.5,Female
All New Zealand,2018,Female,Unspecified site,180,3.4,Female
Auckland,2018,Female,Unspecified site,10,2.6,Female
Bay of Plenty,2018,Female,Unspecified site,10,2.7,Female
Canterbury,2018,Female,Unspecified site,17,2.3,Female
Capital & Coast,2018,Female,Unspecified site,8,2.8,Female
Counties Manukau,2018,Female,Unspecified site,16,3.7,Female
Hawke's Bay,2018,Female,Unspecified site,10,5.0,Female
Hutt Valley,2018,Female,Unspecified site,11,7.7,Female
Lakes,2018,Female,Unspecified site,1,0.0,Female
MidCentral,2018,Female,Unspecified site,11,4.8,Female
Nelson Marlborough,2018,Female,Unspecified site,10,4.2,Female
Northland,2018,Female,Unspecified site,11,5.9,Female
South Canterbury,2018,Female,Unspecified site,3,0.0,Female
Southern,2018,Female,Unspecified site,17,4.4,Female
Taranaki,2018,Female,Unspecified site,3,0.0,Female
Waikato,2018,Female,Unspecified site,19,3.9,Female
Wairarapa,2018,Female,Unspecified site,4,0.0,Female
Waitemata,2018,Female,Unspecified site,13,2.1,Female
West Coast,2018,Female,Unspecified site,1,0.0,Female
Whanganui,2018,Female,Unspecified site,5,0.0,Female
All New Zealand,2018,Female,Uterine,134,3.2,Female
Auckland,2018,Female,Uterine,12,3.7,Female
Bay of Plenty,2018,Female,Uterine,8,2.5,Female
Canterbury,2018,Female,Uterine,9,1.7,Female
Capital & Coast,2018,Female,Uterine,7,2.8,Female
Counties Manukau,2018,Female,Uterine,16,4.4,Female
Hawke's Bay,2018,Female,Uterine,8,4.7,Female
Hutt Valley,2018,Female,Uterine,5,0.0,Female
Lakes,2018,Female,Uterine,2,0.0,Female
MidCentral,2018,Female,Uterine,7,3.3,Female
Nelson Marlborough,2018,Female,Uterine,4,0.0,Female
Northland,2018,Female,Uterine,8,5.1,Female
Southern,2018,Female,Uterine,5,0.0,Female
Tairawhiti,2018,Female,Uterine,2,0.0,Female
Taranaki,2018,Female,Uterine,3,0.0,Female
Waikato,2018,Female,Uterine,13,2.8,Female
Wairarapa,2018,Female,Uterine,2,0.0,Female
Waitemata,2018,Female,Uterine,16,3.4,Female
West Coast,2018,Female,Uterine,1,0.0,Female
Whanganui,2018,Female,Uterine,6,6.4,Female
All New Zealand,2019,Female,Breast,690,16.7,Female
Auckland,2019,Female,Breast,51,14.9,Female
Bay of Plenty,2019,Female,Breast,34,16.0,Female
Canterbury,2019,Female,Breast,77,16.3,Female
Capital & Coast,2019,Female,Breast,41,16.1,Female
Counties Manukau,2019,Female,Breast,63,15.9,Female
Hawke's Bay,2019,Female,Breast,31,20.7,Female
Hutt Valley,2019,Female,Breast,26,17.8,Female
Lakes,2019,Female,Breast,19,19.0,Female
MidCentral,2019,Female,Breast,29,18.5,Female
Nelson Marlborough,2019,Female,Breast,20,14.6,Female
Northland,2019,Female,Breast,41,22.6,Female
South Canterbury,2019,Female,Breast,10,15.4,Female
Southern,2019,Female,Breast,47,15.9,Female
Tairawhiti,2019,Female,Breast,8,15.8,Female
Taranaki,2019,Female,Breast,20,15.1,Female
Waikato,2019,Female,Breast,65,16.9,Female
Wairarapa,2019,Female,Breast,7,14.9,Female
Waitemata,2019,Female,Breast,80,17.2,Female
West Coast,2019,Female,Breast,6,14.5,Female
Whanganui,2019,Female,Breast,15,19.3,Female
All New Zealand,2019,Female,Ovarian,167,3.7,Female
Auckland,2019,Female,Ovarian,12,3.2,Female
Bay of Plenty,2019,Female,Ovarian,9,3.2,Female
Canterbury,2019,Female,Ovarian,23,4.3,Female
Capital & Coast,2019,Female,Ovarian,7,3.0,Female
Counties Manukau,2019,Female,Ovarian,15,3.8,Female
Hawke's Bay,2019,Female,Ovarian,7,4.1,Female
Hutt Valley,2019,Female,Ovarian,6,3.6,Female
Lakes,2019,Female,Ovarian,2,0.0,Female
MidCentral,2019,Female,Ovarian,6,2.9,Female
Nelson Marlborough,2019,Female,Ovarian,4,0.0,Female
Northland,2019,Female,Ovarian,8,4.3,Female
South Canterbury,2019,Female,Ovarian,5,0.0,Female
Southern,2019,Female,Ovarian,17,5.3,Female
Tairawhiti,2019,Female,Ovarian,1,0.0,Female
Taranaki,2019,Female,Ovarian,8,6.7,Female
Waikato,2019,Female,Ovarian,14,3.1,Female
Wairarapa,2019,Female,Ovarian,4,0.0,Female
Waitemata,2019,Female,Ovarian,11,1.9,Female
West Coast,2019,Female,Ovarian,1,0.0,Female
Whanganui,2019,Female,Ovarian,7,10.2,Female
All New Zealand,2019,Female,Unspecified site,141,2.7,Female
Auckland,2019,Female,Unspecified site,12,2.5,Female
Bay of Plenty,2019,Female,Unspecified site,11,3.1,Female
Canterbury,2019,Female,Unspecified site,9,1.7,Female
Capital & Coast,2019,Female,Unspecified site,8,2.1,Female
Counties Manukau,2019,Female,Unspecified site,11,2.4,Female
Hawke's Bay,2019,Female,Unspecified site,8,3.9,Female
Hutt Valley,2019,Female,Unspecified site,4,0.0,Female
Lakes,2019,Female,Unspecified site,6,4.3,Female
MidCentral,2019,Female,Unspecified site,6,3.1,Female
Nelson Marlborough,2019,Female,Unspecified site,9,3.6,Female
Northland,2019,Female,Unspecified site,9,3.5,Female
South Canterbury,2019,Female,Unspecified site,2,0.0,Female
Southern,2019,Female,Unspecified site,9,2.1,Female
Tairawhiti,2019,Female,Unspecified site,2,0.0,Female
Taranaki,2019,Female,Unspecified site,5,0.0,Female
Waikato,2019,Female,Unspecified site,9,2.0,Female
Wairarapa,2019,Female,Unspecified site,3,0.0,Female
Waitemata,2019,Female,Unspecified site,14,2.3,Female
West Coast,2019,Female,Unspecified site,1,0.0,Female
Whanganui,2019,Female,Unspecified site,3,0.0,Female
