DHB,year,sex,cancer,mortality_num,mortality_rate
Auckland,2017,Female,Non-Hodgkin lymphoma,14,3.5
Bay of Plenty,2017,Female,Non-Hodgkin lymphoma,7,2.5
Canterbury,2017,Female,Non-Hodgkin lymphoma,16,2.7
Capital & Coast,2017,Female,Non-Hodgkin lymphoma,14,5.1
Counties Manukau,2017,Female,Non-Hodgkin lymphoma,14,3.7
Hawke's Bay,2017,Female,Non-Hodgkin lymphoma,3,0.0
Hutt Valley,2017,Female,Non-Hodgkin lymphoma,7,5.3
Lakes,2017,Female,Non-Hodgkin lymphoma,7,7.0
MidCentral,2017,Female,Non-Hodgkin lymphoma,1,0.0
Nelson Marlborough,2017,Female,Non-Hodgkin lymphoma,7,3.3
Northland,2017,Female,Non-Hodgkin lymphoma,9,5.3
South Canterbury,2017,Female,Non-Hodgkin lymphoma,4,0.0
Southern,2017,Female,Non-Hodgkin lymphoma,13,3.1
Tairawhiti,2017,Female,Non-Hodgkin lymphoma,1,0.0
Taranaki,2017,Female,Non-Hodgkin lymphoma,4,0.0
Waikato,2017,Female,Non-Hodgkin lymphoma,17,4.9
Wairarapa,2017,Female,Non-Hodgkin lymphoma,1,0.0
Waitemata,2017,Female,Non-Hodgkin lymphoma,14,2.4
West Coast,2017,Female,Non-Hodgkin lymphoma,4,0.0
Whanganui,2017,Female,Non-Hodgkin lymphoma,7,8.1
All New Zealand,2017,Female,Ovarian,164,3.9
Auckland,2017,Female,Ovarian,8,2.1
Bay of Plenty,2017,Female,Ovarian,11,4.0
Canterbury,2017,Female,Ovarian,19,4.0
Capital & Coast,2017,Female,Ovarian,10,4.3
Counties Manukau,2017,Female,Ovarian,9,2.7
Hawke's Bay,2017,Female,Ovarian,5,0.0
Hutt Valley,2017,Female,Ovarian,8,5.2
Lakes,2017,Female,Ovarian,7,7.1
MidCentral,2017,Female,Ovarian,3,0.0
Nelson Marlborough,2017,Female,Ovarian,7,3.5
Northland,2017,Female,Ovarian,5,0.0
South Canterbury,2017,Female,Ovarian,2,0.0
Southern,2017,Female,Ovarian,15,4.8
Tairawhiti,2017,Female,Ovarian,4,0.0
Taranaki,2017,Female,Ovarian,7,5.5
Waikato,2017,Female,Ovarian,21,5.8
Wairarapa,2017,Female,Ovarian,4,0.0
Waitemata,2017,Female,Ovarian,16,3.1
Whanganui,2017,Female,Ovarian,3,0.0
All New Zealand,2017,Female,Pancreas,261,5.8
Auckland,2017,Female,Pancreas,16,4.4
Bay of Plenty,2017,Female,Pancreas,18,6.3
Canterbury,2017,Female,Pancreas,27,5.3
Capital & Coast,2017,Female,Pancreas,13,5.3
Counties Manukau,2017,Female,Pancreas,24,6.2
Hawke's Bay,2017,Female,Pancreas,11,5.4
Hutt Valley,2017,Female,Pancreas,7,5.1
Lakes,2017,Female,Pancreas,5,0.0
MidCentral,2017,Female,Pancreas,17,8.8
Nelson Marlborough,2017,Female,Pancreas,14,7.2
Northland,2017,Female,Pancreas,12,6.7
South Canterbury,2017,Female,Pancreas,4,0.0
Southern,2017,Female,Pancreas,19,6.0
Tairawhiti,2017,Female,Pancreas,5,0.0
Taranaki,2017,Female,Pancreas,10,8.6
Waikato,2017,Female,Pancreas,18,4.5
Wairarapa,2017,Female,Pancreas,3,0.0
Waitemata,2017,Female,Pancreas,27,5.2
West Coast,2017,Female,Pancreas,4,0.0
Whanganui,2017,Female,Pancreas,7,9.8
All New Zealand,2017,Female,Unspecified site,190,3.8
Auckland,2017,Female,Unspecified site,19,5.2
Bay of Plenty,2017,Female,Unspecified site,20,6.4
Canterbury,2017,Female,Unspecified site,17,2.4
Capital & Coast,2017,Female,Unspecified site,9,3.0
Counties Manukau,2017,Female,Unspecified site,12,2.8
Hawke's Bay,2017,Female,Unspecified site,5,0.0
Hutt Valley,2017,Female,Unspecified site,5,0.0
Lakes,2017,Female,Unspecified site,6,6.3
MidCentral,2017,Female,Unspecified site,8,3.9
Nelson Marlborough,2017,Female,Unspecified site,5,0.0
Northland,2017,Female,Unspecified site,9,3.8
South Canterbury,2017,Female,Unspecified site,3,0.0
Southern,2017,Female,Unspecified site,22,5.6
Taranaki,2017,Female,Unspecified site,3,0.0
Waikato,2017,Female,Unspecified site,25,5.7
Wairarapa,2017,Female,Unspecified site,1,0.0
Waitemata,2017,Female,Unspecified site,14,2.6
West Coast,2017,Female,Unspecified site,5,0.0
Whanganui,2017,Female,Unspecified site,2,0.0
All New Zealand,2017,Female,Uterine,135,3.1
Auckland,2017,Female,Uterine,18,5.5
Bay of Plenty,2017,Female,Uterine,9,3.2
Canterbury,2017,Female,Uterine,15,2.6
Capital & Coast,2017,Female,Uterine,6,2.7
Counties Manukau,2017,Female,Uterine,16,4.2
Hawke's Bay,2017,Female,Uterine,7,2.9
Hutt Valley,2017,Female,Uterine,3,0.0
Lakes,2017,Female,Uterine,3,0.0
MidCentral,2017,Female,Uterine,5,0.0
Nelson Marlborough,2017,Female,Uterine,6,2.7
Northland,2017,Female,Uterine,8,5.1
Southern,2017,Female,Uterine,6,1.6
Taranaki,2017,Female,Uterine,5,0.0
Waikato,2017,Female,Uterine,9,2.2
Wairarapa,2017,Female,Uterine,1,0.0
Waitemata,2017,Female,Uterine,14,3.1
West Coast,2017,Female,Uterine,1,0.0
Whanganui,2017,Female,Uterine,3,0.0
All New Zealand,2018,Female,Brain,136,3.7
Auckland,2018,Female,Brain,7,2.1
Bay of Plenty,2018,Female,Brain,8,3.7
Canterbury,2018,Female,Brain,16,4.1
Capital & Coast,2018,Female,Brain,9,3.6
Counties Manukau,2018,Female,Brain,7,1.9
Hawke's Bay,2018,Female,Brain,8,5.4
Hutt Valley,2018,Female,Brain,5,0.0
Lakes,2018,Female,Brain,2,0.0
MidCentral,2018,Female,Brain,8,5.2
Nelson Marlborough,2018,Female,Brain,2,0.0
Northland,2018,Female,Brain,11,8.2
South Canterbury,2018,Female,Brain,1,0.0
Southern,2018,Female,Brain,15,6.9
Tairawhiti,2018,Female,Brain,2,0.0
Taranaki,2018,Female,Brain,1,0.0
Waikato,2018,Female,Brain,10,2.8
Waitemata,2018,Female,Brain,17,3.7
West Coast,2018,Female,Brain,4,0.0
Whanganui,2018,Female,Brain,3,0.0
All New Zealand,2018,Female,Breast,684,16.3
Auckland,2018,Female,Breast,42,11.8
Bay of Plenty,2018,Female,Breast,42,18.4
Canterbury,2018,Female,Breast,88,18.8
Capital & Coast,2018,Female,Breast,38,14.0
Counties Manukau,2018,Female,Breast,55,13.7
Hawke's Bay,2018,Female,Breast,23,15.1
Hutt Valley,2018,Female,Breast,21,15.3
Lakes,2018,Female,Breast,17,17.2
MidCentral,2018,Female,Breast,26,14.7
Nelson Marlborough,2018,Female,Breast,25,14.2
Northland,2018,Female,Breast,41,21.7
South Canterbury,2018,Female,Breast,14,27.5
Southern,2018,Female,Breast,52,17.8
Tairawhiti,2018,Female,Breast,4,0.0
Taranaki,2018,Female,Breast,30,21.9
Waikato,2018,Female,Breast,71,17.9
Wairarapa,2018,Female,Breast,9,17.5
Waitemata,2018,Female,Breast,72,14.8
West Coast,2018,Female,Breast,3,0.0
Whanganui,2018,Female,Breast,11,15.1
All New Zealand,2018,Female,Colorectal,581,12.0
Auckland,2018,Female,Colorectal,36,9.2
Bay of Plenty,2018,Female,Colorectal,33,11.3
Canterbury,2018,Female,Colorectal,76,13.2
Capital & Coast,2018,Female,Colorectal,43,14.7
Counties Manukau,2018,Female,Colorectal,56,13.7
Hawke's Bay,2018,Female,Colorectal,27,13.6
Hutt Valley,2018,Female,Colorectal,15,9.8
Lakes,2018,Female,Colorectal,13,12.9
MidCentral,2018,Female,Colorectal,33,17.8
Nelson Marlborough,2018,Female,Colorectal,19,8.0
Northland,2018,Female,Colorectal,19,9.0
South Canterbury,2018,Female,Colorectal,13,15.2
Southern,2018,Female,Colorectal,48,12.4
Tairawhiti,2018,Female,Colorectal,5,0.0
Taranaki,2018,Female,Colorectal,21,16.0
Waikato,2018,Female,Colorectal,55,13.1
Wairarapa,2018,Female,Colorectal,5,0.0
Waitemata,2018,Female,Colorectal,45,8.1
West Coast,2018,Female,Colorectal,6,20.2
Whanganui,2018,Female,Colorectal,13,18.9
All New Zealand,2018,Female,Leukaemia,142,3.0
Auckland,2018,Female,Leukaemia,15,4.0
Bay of Plenty,2018,Female,Leukaemia,11,4.2
Canterbury,2018,Female,Leukaemia,14,2.5
Capital & Coast,2018,Female,Leukaemia,10,2.8
Counties Manukau,2018,Female,Leukaemia,12,3.0
Hawke's Bay,2018,Female,Leukaemia,10,5.2
Hutt Valley,2018,Female,Leukaemia,3,0.0
Lakes,2018,Female,Leukaemia,5,0.0
MidCentral,2018,Female,Leukaemia,3,0.0
Nelson Marlborough,2018,Female,Leukaemia,7,3.1
Northland,2018,Female,Leukaemia,2,0.0
South Canterbury,2018,Female,Leukaemia,3,0.0
Southern,2018,Female,Leukaemia,8,2.3
Taranaki,2018,Female,Leukaemia,1,0.0
Waikato,2018,Female,Leukaemia,13,3.2
Wairarapa,2018,Female,Leukaemia,1,0.0
Waitemata,2018,Female,Leukaemia,21,4.1
Whanganui,2018,Female,Leukaemia,3,0.0
All New Zealand,2018,Female,Lung,872,19.5
Auckland,2018,Female,Lung,48,13.2
Bay of Plenty,2018,Female,Lung,58,20.4
Canterbury,2018,Female,Lung,86,16.4
Capital & Coast,2018,Female,Lung,42,14.9
Counties Manukau,2018,Female,Lung,86,22.2
Hawke's Bay,2018,Female,Lung,43,23.2
Hutt Valley,2018,Female,Lung,25,19.2
Lakes,2018,Female,Lung,26,24.0
MidCentral,2018,Female,Lung,46,26.1
Nelson Marlborough,2018,Female,Lung,25,13.5
Northland,2018,Female,Lung,52,25.4
South Canterbury,2018,Female,Lung,12,16.8
Southern,2018,Female,Lung,52,15.7
Tairawhiti,2018,Female,Lung,18,42.5
Taranaki,2018,Female,Lung,25,19.8
Waikato,2018,Female,Lung,94,24.6
Wairarapa,2018,Female,Lung,17,28.2
Waitemata,2018,Female,Lung,89,17.1
West Coast,2018,Female,Lung,5,0.0
Whanganui,2018,Female,Lung,23,31.6
All New Zealand,2018,Female,Non-Hodgkin lymphoma,149,3.1
Auckland,2018,Female,Non-Hodgkin lymphoma,10,2.5
Bay of Plenty,2018,Female,Non-Hodgkin lymphoma,10,3.3
Canterbury,2018,Female,Non-Hodgkin lymphoma,20,3.5
Capital & Coast,2018,Female,Non-Hodgkin lymphoma,11,4.4
Counties Manukau,2018,Female,Non-Hodgkin lymphoma,19,4.5
Hawke's Bay,2018,Female,Non-Hodgkin lymphoma,3,0.0
Hutt Valley,2018,Female,Non-Hodgkin lymphoma,6,4.0
Lakes,2018,Female,Non-Hodgkin lymphoma,5,0.0
MidCentral,2018,Female,Non-Hodgkin lymphoma,3,0.0
Nelson Marlborough,2018,Female,Non-Hodgkin lymphoma,7,3.5
Northland,2018,Female,Non-Hodgkin lymphoma,4,0.0
South Canterbury,2018,Female,Non-Hodgkin lymphoma,3,0.0
Southern,2018,Female,Non-Hodgkin lymphoma,9,3.1
Taranaki,2018,Female,Non-Hodgkin lymphoma,3,0.0
Waikato,2018,Female,Non-Hodgkin lymphoma,18,4.0
Wairarapa,2018,Female,Non-Hodgkin lymphoma,1,0.0
Waitemata,2018,Female,Non-Hodgkin lymphoma,11,1.6
West Coast,2018,Female,Non-Hodgkin lymphoma,1,0.0
Whanganui,2018,Female,Non-Hodgkin lymphoma,5,0.0
All New Zealand,2018,Female,Ovarian,182,4.1
Auckland,2018,Female,Ovarian,9,2.3
Bay of Plenty,2018,Female,Ovarian,14,4.9
Canterbury,2018,Female,Ovarian,15,3.1
Capital & Coast,2018,Female,Ovarian,14,5.0
Counties Manukau,2018,Female,Ovarian,14,3.6
Hawke's Bay,2018,Female,Ovarian,12,7.6
Hutt Valley,2018,Female,Ovarian,5,0.0
Lakes,2018,Female,Ovarian,3,0.0
MidCentral,2018,Female,Ovarian,13,7.6
Nelson Marlborough,2018,Female,Ovarian,8,4.5
Northland,2018,Female,Ovarian,6,3.2
South Canterbury,2018,Female,Ovarian,6,6.7
Southern,2018,Female,Ovarian,14,3.5
Tairawhiti,2018,Female,Ovarian,1,0.0
Taranaki,2018,Female,Ovarian,13,10.3
Waikato,2018,Female,Ovarian,18,4.4
Wairarapa,2018,Female,Ovarian,1,0.0
Waitemata,2018,Female,Ovarian,10,2.2
Whanganui,2018,Female,Ovarian,6,6.5
All New Zealand,2018,Female,Pancreas,271,5.9
Auckland,2018,Female,Pancreas,27,7.2
Bay of Plenty,2018,Female,Pancreas,12,4.1
Canterbury,2018,Female,Pancreas,27,5.2
Capital & Coast,2018,Female,Pancreas,10,3.2
Counties Manukau,2018,Female,Pancreas,21,5.4
Hawke's Bay,2018,Female,Pancreas,10,5.1
Hutt Valley,2018,Female,Pancreas,15,10.5
Lakes,2018,Female,Pancreas,3,0.0
MidCentral,2018,Female,Pancreas,12,6.6
Nelson Marlborough,2018,Female,Pancreas,5,0.0
Northland,2018,Female,Pancreas,15,8.3
South Canterbury,2018,Female,Pancreas,4,0.0
Southern,2018,Female,Pancreas,24,6.8
Tairawhiti,2018,Female,Pancreas,5,0.0
Taranaki,2018,Female,Pancreas,6,3.2
Waikato,2018,Female,Pancreas,35,8.3
Wairarapa,2018,Female,Pancreas,1,0.0
Waitemata,2018,Female,Pancreas,35,6.7
West Coast,2018,Female,Pancreas,1,0.0
Whanganui,2018,Female,Pancreas,3,0.0
All New Zealand,2018,Female,Unspecified site,180,3.4
Auckland,2018,Female,Unspecified site,10,2.6
Bay of Plenty,2018,Female,Unspecified site,10,2.7
Canterbury,2018,Female,Unspecified site,17,2.3
Capital & Coast,2018,Female,Unspecified site,8,2.8
Counties Manukau,2018,Female,Unspecified site,16,3.7
Hawke's Bay,2018,Female,Unspecified site,10,5.0
Hutt Valley,2018,Female,Unspecified site,11,7.7
Lakes,2018,Female,Unspecified site,1,0.0
MidCentral,2018,Female,Unspecified site,11,4.8
Nelson Marlborough,2018,Female,Unspecified site,10,4.2
Northland,2018,Female,Unspecified site,11,5.9
South Canterbury,2018,Female,Unspecified site,3,0.0
Southern,2018,Female,Unspecified site,17,4.4
Taranaki,2018,Female,Unspecified site,3,0.0
Waikato,2018,Female,Unspecified site,19,3.9
Wairarapa,2018,Female,Unspecified site,4,0.0
Waitemata,2018,Female,Unspecified site,13,2.1
West Coast,2018,Female,Unspecified site,1,0.0
Whanganui,2018,Female,Unspecified site,5,0.0
All New Zealand,2018,Female,Uterine,134,3.2
Auckland,2018,Female,Uterine,12,3.7
Bay of Plenty,2018,Female,Uterine,8,2.5
Canterbury,2018,Female,Uterine,9,1.7
Capital & Coast,2018,Female,Uterine,7,2.8
Counties Manukau,2018,Female,Uterine,16,4.4
Hawke's Bay,2018,Female,Uterine,8,4.7
Hutt Valley,2018,Female,Uterine,5,0.0
Lakes,2018,Female,Uterine,2,0.0
MidCentral,2018,Female,Uterine,7,3.3
Nelson Marlborough,2018,Female,Uterine,4,0.0
Northland,2018,Female,Uterine,8,5.1
Southern,2018,Female,Uterine,5,0.0
Tairawhiti,2018,Female,Uterine,2,0.0
Taranaki,2018,Female,Uterine,3,0.0
Waikato,2018,Female,Uterine,13,2.8
Wairarapa,2018,Female,Uterine,2,0.0
Waitemata,2018,Female,Uterine,16,3.4
West Coast,2018,Female,Uterine,1,0.0
Whanganui,2018,Female,Uterine,6,6.4
All New Zealand,2019,Female,Brain,118,3.2
Auckland,2019,Female,Brain,6,1.9
Bay of Plenty,2019,Female,Brain,6,2.8
Canterbury,2019,Female,Brain,17,3.8
Capital & Coast,2019,Female,Brain,4,0.0
Counties Manukau,2019,Female,Brain,8,2.6
Hawke's Bay,2019,Female,Brain,6,4.9
Hutt Valley,2019,Female,Brain,3,0.0
Lakes,2019,Female,Brain,1,0.0
MidCentral,2019,Female,Brain,9,8.3
Nelson Marlborough,2019,Female,Brain,4,0.0
Northland,2019,Female,Brain,9,4.7
Southern,2019,Female,Brain,9,2.5
Tairawhiti,2019,Female,Brain,1,0.0
Taranaki,2019,Female,Brain,3,0.0
Waikato,2019,Female,Brain,13,4.4
Wairarapa,2019,Female,Brain,4,0.0
Waitemata,2019,Female,Brain,14,2.9
Whanganui,2019,Female,Brain,1,0.0
All New Zealand,2019,Female,Breast,690,16.7
Auckland,2019,Female,Breast,51,14.9
Bay of Plenty,2019,Female,Breast,34,16.0
Canterbury,2019,Female,Breast,77,16.3
Capital & Coast,2019,Female,Breast,41,16.1
Counties Manukau,2019,Female,Breast,63,15.9
Hawke's Bay,2019,Female,Breast,31,20.7
Hutt Valley,2019,Female,Breast,26,17.8
Lakes,2019,Female,Breast,19,19.0
MidCentral,2019,Female,Breast,29,18.5
Nelson Marlborough,2019,Female,Breast,20,14.6
Northland,2019,Female,Breast,41,22.6
South Canterbury,2019,Female,Breast,10,15.4
Southern,2019,Female,Breast,47,15.9
Tairawhiti,2019,Female,Breast,8,15.8
Taranaki,2019,Female,Breast,20,15.1
Waikato,2019,Female,Breast,65,16.9
Wairarapa,2019,Female,Breast,7,14.9
Waitemata,2019,Female,Breast,80,17.2
West Coast,2019,Female,Breast,6,14.5
Whanganui,2019,Female,Breast,15,19.3
All New Zealand,2019,Female,Colorectal,551,11.1
Auckland,2019,Female,Colorectal,39,9.2
Bay of Plenty,2019,Female,Colorectal,31,10.0
Canterbury,2019,Female,Colorectal,59,10.1
Capital & Coast,2019,Female,Colorectal,35,11.2
Counties Manukau,2019,Female,Colorectal,43,9.9
Hawke's Bay,2019,Female,Colorectal,23,10.4
Hutt Valley,2019,Female,Colorectal,14,9.3
Lakes,2019,Female,Colorectal,15,13.6
MidCentral,2019,Female,Colorectal,27,13.5
Nelson Marlborough,2019,Female,Colorectal,20,9.6
Northland,2019,Female,Colorectal,34,15.8
South Canterbury,2019,Female,Colorectal,11,16.4
Southern,2019,Female,Colorectal,50,14.3
Tairawhiti,2019,Female,Colorectal,9,19.2
Taranaki,2019,Female,Colorectal,20,14.8
Waikato,2019,Female,Colorectal,54,12.3
Wairarapa,2019,Female,Colorectal,8,13.0
Waitemata,2019,Female,Colorectal,41,6.8
West Coast,2019,Female,Colorectal,5,0.0
Whanganui,2019,Female,Colorectal,13,17.8
All New Zealand,2019,Female,Leukaemia,145,3.2
Auckland,2019,Female,Leukaemia,11,3.0
Bay of Plenty,2019,Female,Leukaemia,11,3.8
Canterbury,2019,Female,Leukaemia,18,3.7
Capital & Coast,2019,Female,Leukaemia,11,3.8
Counties Manukau,2019,Female,Leukaemia,8,1.9
Hawke's Bay,2019,Female,Leukaemia,7,3.5
Hutt Valley,2019,Female,Leukaemia,5,0.0
Lakes,2019,Female,Leukaemia,7,5.5
MidCentral,2019,Female,Leukaemia,7,4.0
Nelson Marlborough,2019,Female,Leukaemia,3,0.0
Northland,2019,Female,Leukaemia,10,5.7
South Canterbury,2019,Female,Leukaemia,2,0.0
Southern,2019,Female,Leukaemia,12,3.2
Taranaki,2019,Female,Leukaemia,4,0.0
Waikato,2019,Female,Leukaemia,13,3.2
Waitemata,2019,Female,Leukaemia,15,3.2
West Coast,2019,Female,Leukaemia,1,0.0
All New Zealand,2019,Female,Lung,897,19.4
Auckland,2019,Female,Lung,48,13.7
Bay of Plenty,2019,Female,Lung,73,25.6
Canterbury,2019,Female,Lung,98,18.6
Capital & Coast,2019,Female,Lung,37,13.3
Counties Manukau,2019,Female,Lung,88,21.4
Hawke's Bay,2019,Female,Lung,45,23.2
Hutt Valley,2019,Female,Lung,23,17.6
Lakes,2019,Female,Lung,32,28.5
MidCentral,2019,Female,Lung,42,22.3
Nelson Marlborough,2019,Female,Lung,32,15.4
Northland,2019,Female,Lung,48,23.8
South Canterbury,2019,Female,Lung,17,24.7
Southern,2019,Female,Lung,58,17.8
Tairawhiti,2019,Female,Lung,12,26.8
Taranaki,2019,Female,Lung,29,19.6
Waikato,2019,Female,Lung,104,24.4
Wairarapa,2019,Female,Lung,13,25.2
Waitemata,2019,Female,Lung,74,13.8
West Coast,2019,Female,Lung,14,35.7
Whanganui,2019,Female,Lung,10,12.5
All New Zealand,2019,Female,Non-Hodgkin lymphoma,131,2.5
Auckland,2019,Female,Non-Hodgkin lymphoma,10,2.2
Bay of Plenty,2019,Female,Non-Hodgkin lymphoma,8,2.4
Canterbury,2019,Female,Non-Hodgkin lymphoma,16,2.9
Capital & Coast,2019,Female,Non-Hodgkin lymphoma,8,2.2
Counties Manukau,2019,Female,Non-Hodgkin lymphoma,11,2.3
Hawke's Bay,2019,Female,Non-Hodgkin lymphoma,3,0.0
Hutt Valley,2019,Female,Non-Hodgkin lymphoma,5,0.0
Lakes,2019,Female,Non-Hodgkin lymphoma,2,0.0
MidCentral,2019,Female,Non-Hodgkin lymphoma,8,3.8
Nelson Marlborough,2019,Female,Non-Hodgkin lymphoma,4,0.0
Northland,2019,Female,Non-Hodgkin lymphoma,6,2.3
South Canterbury,2019,Female,Non-Hodgkin lymphoma,3,0.0
Southern,2019,Female,Non-Hodgkin lymphoma,10,2.6
Tairawhiti,2019,Female,Non-Hodgkin lymphoma,1,0.0
Taranaki,2019,Female,Non-Hodgkin lymphoma,1,0.0
Waikato,2019,Female,Non-Hodgkin lymphoma,8,1.7
Wairarapa,2019,Female,Non-Hodgkin lymphoma,2,0.0
Waitemata,2019,Female,Non-Hodgkin lymphoma,16,2.6
West Coast,2019,Female,Non-Hodgkin lymphoma,4,0.0
Whanganui,2019,Female,Non-Hodgkin lymphoma,5,0.0
All New Zealand,2019,Female,Ovarian,167,3.7
Auckland,2019,Female,Ovarian,12,3.2
Bay of Plenty,2019,Female,Ovarian,9,3.2
Canterbury,2019,Female,Ovarian,23,4.3
Capital & Coast,2019,Female,Ovarian,7,3.0
Counties Manukau,2019,Female,Ovarian,15,3.8
Hawke's Bay,2019,Female,Ovarian,7,4.1
Hutt Valley,2019,Female,Ovarian,6,3.6
Lakes,2019,Female,Ovarian,2,0.0
MidCentral,2019,Female,Ovarian,6,2.9
Nelson Marlborough,2019,Female,Ovarian,4,0.0
Northland,2019,Female,Ovarian,8,4.3
South Canterbury,2019,Female,Ovarian,5,0.0
Southern,2019,Female,Ovarian,17,5.3
Tairawhiti,2019,Female,Ovarian,1,0.0
Taranaki,2019,Female,Ovarian,8,6.7
Waikato,2019,Female,Ovarian,14,3.1
Wairarapa,2019,Female,Ovarian,4,0.0
Waitemata,2019,Female,Ovarian,11,1.9
West Coast,2019,Female,Ovarian,1,0.0
Whanganui,2019,Female,Ovarian,7,10.2
All New Zealand,2019,Female,Pancreas,275,5.5
Auckland,2019,Female,Pancreas,14,3.5
Bay of Plenty,2019,Female,Pancreas,13,3.8
Canterbury,2019,Female,Pancreas,36,6.3
Capital & Coast,2019,Female,Pancreas,19,6.4
Counties Manukau,2019,Female,Pancreas,21,5.5
Hawke's Bay,2019,Female,Pancreas,16,6.9
Hutt Valley,2019,Female,Pancreas,14,8.5
Lakes,2019,Female,Pancreas,10,8.4
MidCentral,2019,Female,Pancreas,9,4.6
Nelson Marlborough,2019,Female,Pancreas,7,3.1
Northland,2019,Female,Pancreas,15,6.3
South Canterbury,2019,Female,Pancreas,6,7.2
Southern,2019,Female,Pancreas,14,4.2
Tairawhiti,2019,Female,Pancreas,3,0.0
Taranaki,2019,Female,Pancreas,10,6.2
Waikato,2019,Female,Pancreas,32,6.9
Wairarapa,2019,Female,Pancreas,2,0.0
Waitemata,2019,Female,Pancreas,26,4.7
West Coast,2019,Female,Pancreas,4,0.0
Whanganui,2019,Female,Pancreas,4,0.0
All New Zealand,2019,Female,Unspecified site,141,2.7
Auckland,2019,Female,Unspecified site,12,2.5
Bay of Plenty,2019,Female,Unspecified site,11,3.1
Canterbury,2019,Female,Unspecified site,9,1.7
Capital & Coast,2019,Female,Unspecified site,8,2.1
Counties Manukau,2019,Female,Unspecified site,11,2.4
Hawke's Bay,2019,Female,Unspecified site,8,3.9
Hutt Valley,2019,Female,Unspecified site,4,0.0
Lakes,2019,Female,Unspecified site,6,4.3
MidCentral,2019,Female,Unspecified site,6,3.1
Nelson Marlborough,2019,Female,Unspecified site,9,3.6
Northland,2019,Female,Unspecified site,9,3.5
South Canterbury,2019,Female,Unspecified site,2,0.0
Southern,2019,Female,Unspecified site,9,2.1
Tairawhiti,2019,Female,Unspecified site,2,0.0
Taranaki,2019,Female,Unspecified site,5,0.0
Waikato,2019,Female,Unspecified site,9,2.0
Wairarapa,2019,Female,Unspecified site,3,0.0
Waitemata,2019,Female,Unspecified site,14,2.3
West Coast,2019,Female,Unspecified site,1,0.0
Whanganui,2019,Female,Unspecified site,3,0.0
All New Zealand,2019,Female,Uterine,134,3.1
Auckland,2019,Female,Uterine,9,2.5
Bay of Plenty,2019,Female,Uterine,7,2.3
Canterbury,2019,Female,Uterine,17,3.5
Capital & Coast,2019,Female,Uterine,7,2.2
Counties Manukau,2019,Female,Uterine,15,3.9
Hawke's Bay,2019,Female,Uterine,10,6.0
Hutt Valley,2019,Female,Uterine,3,0.0
Lakes,2019,Female,Uterine,3,0.0
MidCentral,2019,Female,Uterine,2,0.0
Nelson Marlborough,2019,Female,Uterine,3,0.0
Northland,2019,Female,Uterine,5,0.0
South Canterbury,2019,Female,Uterine,5,0.0
Southern,2019,Female,Uterine,7,1.9
Tairawhiti,2019,Female,Uterine,2,0.0
Taranaki,2019,Female,Uterine,4,0.0
Waikato,2019,Female,Uterine,15,3.7
Wairarapa,2019,Female,Uterine,1,0.0
Waitemata,2019,Female,Uterine,15,3.2
Whanganui,2019,Female,Uterine,4,0.0
All New Zealand,2020,Female,Brain,105,2.6
Auckland,2020,Female,Brain,6,1.5
Bay of Plenty,2020,Female,Brain,4,0.0
Canterbury,2020,Female,Brain,11,2.4
Capital & Coast,2020,Female,Brain,5,0.0
Counties Manukau,2020,Female,Brain,10,2.3
Hawke's Bay,2020,Female,Brain,8,4.8
Hutt Valley,2020,Female,Brain,3,0.0
Lakes,2020,Female,Brain,4,0.0
MidCentral,2020,Female,Brain,10,6.7
Nelson Marlborough,2020,Female,Brain,9,8.6
Northland,2020,Female,Brain,1,0.0
Southern,2020,Female,Brain,10,3.3
Tairawhiti,2020,Female,Brain,1,0.0
Taranaki,2020,Female,Brain,5,0.0
Waikato,2020,Female,Brain,9,2.5
Wairarapa,2020,Female,Brain,1,0.0
Waitemata,2020,Female,Brain,7,1.4
Whanganui,2020,Female,Brain,1,0.0
All New Zealand,2020,Female,Breast,638,14.6
Auckland,2020,Female,Breast,49,12.5
Bay of Plenty,2020,Female,Breast,44,15.8
Canterbury,2020,Female,Breast,73,15.6
Capital & Coast,2020,Female,Breast,31,10.8
Counties Manukau,2020,Female,Breast,53,13.4
Hawke's Bay,2020,Female,Breast,31,18.1
Hutt Valley,2020,Female,Breast,26,18.6
Lakes,2020,Female,Breast,15,16.0
MidCentral,2020,Female,Breast,29,14.6
Nelson Marlborough,2020,Female,Breast,27,13.4
Northland,2020,Female,Breast,29,16.9
South Canterbury,2020,Female,Breast,7,9.1
Southern,2020,Female,Breast,36,11.8
Tairawhiti,2020,Female,Breast,4,0.0
Taranaki,2020,Female,Breast,21,20.1
Waikato,2020,Female,Breast,59,15.6
Wairarapa,2020,Female,Breast,10,18.2
Waitemata,2020,Female,Breast,82,16.1
West Coast,2020,Female,Breast,3,0.0
Whanganui,2020,Female,Breast,9,10.6
All New Zealand,2020,Female,Colorectal,593,11.6
Auckland,2020,Female,Colorectal,28,6.5
Bay of Plenty,2020,Female,Colorectal,21,7.5
Canterbury,2020,Female,Colorectal,75,12.7
Capital & Coast,2020,Female,Colorectal,34,12.6
Counties Manukau,2020,Female,Colorectal,41,8.8
Hawke's Bay,2020,Female,Colorectal,28,12.5
Hutt Valley,2020,Female,Colorectal,15,11.2
Lakes,2020,Female,Colorectal,12,10.9
